[2022-10-19 09:11:11,040] INFO [shopproduct:102] productcontent user_id:ham prodnum:701 prodname:테크 플리스 후드 집업 prodimg:brandimgs/43.jpg prodbrand:나이키 proditems:아우터 prodname:테크 플리스 후드 집업 date:2022-10-19 09:11:11
[2022-10-19 09:11:14,925] INFO [shopproduct:82] productcontent user_id:jk prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:11:14
[2022-10-19 09:11:17,154] INFO [shopproduct:102] productcontent user_id:bbb prodnum:584 prodname:퍼플 맨투맨 prodimg:brandimgs/7_2njXZze.jpg prodbrand:무지 proditems:긴팔티 prodname:퍼플 맨투맨 date:2022-10-19 09:11:17
[2022-10-19 09:11:22,552] INFO [shopproduct:102] productcontent user_id:bbb prodnum:584 prodname:퍼플 맨투맨 prodimg:brandimgs/7_2njXZze.jpg prodbrand:무지 proditems:긴팔티 prodname:퍼플 맨투맨 date:2022-10-19 09:11:22
[2022-10-19 09:11:26,433] INFO [shopproduct:102] productcontent user_id:bbb prodnum:226 prodname:베이식 심플 스커트 prodimg:brandimgs/2_UKkp3c0.jpg prodbrand:아디다스 proditems:치마 prodname:베이식 심플 스커트 date:2022-10-19 09:11:26
[2022-10-19 09:11:32,843] INFO [shopproduct:102] productcontent user_id:bbb prodnum:503 prodname:바이더 헤이즈 100A prodimg:brandimgs/nb_0_3_40.jpg prodbrand:뉴발란스 proditems:아우터 prodname:바이더 헤이즈 100A date:2022-10-19 09:11:32
[2022-10-19 09:11:39,659] INFO [shopproduct:102] productcontent user_id:bbb prodnum:503 prodname:바이더 헤이즈 100A prodimg:brandimgs/nb_0_3_40.jpg prodbrand:뉴발란스 proditems:아우터 prodname:바이더 헤이즈 100A date:2022-10-19 09:11:39
[2022-10-19 09:11:45,047] INFO [shopproduct:82] productcontent user_id:bbb prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:11:45
[2022-10-19 09:11:50,827] INFO [shopproduct:82] productcontent user_id:bbb prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:11:50
[2022-10-19 09:12:01,660] INFO [shopproduct:102] productcontent user_id:bbb prodnum:327 prodname:호그와트 기숙사 잠옷 prodimg:brandimgs/4_2q9e1RF.jpg prodbrand:스파오 proditems:한벌옷 prodname:호그와트 기숙사 잠옷 date:2022-10-19 09:12:01
[2022-10-19 09:12:04,231] INFO [shopproduct:102] productcontent user_id:bbb prodnum:327 prodname:호그와트 기숙사 잠옷 prodimg:brandimgs/4_2q9e1RF.jpg prodbrand:스파오 proditems:한벌옷 prodname:호그와트 기숙사 잠옷 date:2022-10-19 09:12:04
[2022-10-19 09:12:11,741] INFO [shopproduct:102] productcontent user_id:bbb prodnum:800 prodname:화이트 리본 아우터 prodimg:brandimgs/2_aEHYsyG.jpg prodbrand:무지 proditems:아우터 prodname:화이트 리본 아우터 date:2022-10-19 09:12:11
[2022-10-19 09:12:14,276] INFO [shopproduct:82] productcontent user_id:jk prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:12:14
[2022-10-19 09:12:16,597] INFO [shopproduct:102] productcontent user_id:bbb prodnum:800 prodname:화이트 리본 아우터 prodimg:brandimgs/2_aEHYsyG.jpg prodbrand:무지 proditems:아우터 prodname:화이트 리본 아우터 date:2022-10-19 09:12:16
[2022-10-19 09:12:33,198] INFO [shopproduct:102] productcontent user_id:jk prodnum:405 prodname:우디 오버핏 자수 옥스포드 셔츠 prodimg:brandimgs/11_DJpJM7s.jpg prodbrand:스파오 proditems:긴팔티 prodname:우디 오버핏 자수 옥스포드 셔츠 date:2022-10-19 09:12:33
